,scaling factor,time (sec),accel = sin(t/tscale)*ascale,sine argument,vel = (-cos(t/tscale)+1)*vscale,RR vel (m/s),err vel,pos = (-tscale(sin(t/tscale))+t)*vscale,RR pos (meters),error vel,error pos,time (min),vel Km/hr,pos Km,,,,,,,,,,,,,,,,,
,,96.0000000,0.077806256204547,0.3351032,3.770046017237400,3.808945317266600,-0.0388993,121.094868193464000,124.890722837384000,-0.0388993,3.8478446,1.6000000,13.7122031,0.1248907,,,,,,,,,,,,,,,,,
,,97.0000000,0.078585695402184,0.3385939,3.848242072440390,3.887531012668780,-0.0392889,124.903947285024000,128.778253850052000,-0.0392889,3.9268200,1.6166667,13.9951116,0.1287783,,,,,,,,,,,,,,,,,
,,98.0000000,0.079364177057922,0.3420845,3.927217088861010,3.966895189726700,-0.0396781,128.791611992190000,132.745149039779000,-0.0396781,4.0065733,1.6333333,14.2808227,0.1327451,,,,,,,,,,,,,,,,,
,,99.0000000,0.080141691686208,0.3455752,4.006970104213620,4.047036881412910,-0.0400668,132.758640795828000,136.792185921192000,-0.0400668,4.0871037,1.6500000,14.5693328,0.1367922,,,,,,,,,,,,,,,,,
,,100.0000000,0.080918229813273,0.3490659,4.087500146732880,4.127955111226180,-0.0404550,136.805811209777000,140.920141032418000,-0.0404550,4.1684101,1.6666667,14.8606384,0.1409201,,,,,,,,,,,,,,,,,
,,101.0000000,0.081693781977243,0.3525565,4.168806235185660,4.209648893203430,-0.0408427,140.933899771376000,145.129789925622000,-0.0408427,4.2504916,1.6833333,15.1547360,0.1451298,,,,,,,,,,,,,,,,,
,,102.0000000,0.082468338728261,0.3560472,4.250887378882920,4.292117231931690,-0.0412299,145.143682032002000,149.421907157553000,-0.0412299,4.3333471,1.7000000,15.4516220,0.1494219,,,,,,,,,,,,,,,,,
,,103.0000000,0.083241890628597,0.3595378,4.333742577691820,4.375359122560280,-0.0416165,149.435932547617000,153.797266280114000,-0.0416165,4.4169757,1.7166667,15.7512928,0.1537973,,,,,,,,,,,,,,,,,
,,104.0000000,0.084014428252765,0.3630285,4.417370822047920,4.459373550813050,-0.0420027,153.811424869339000,158.256639830927000,-0.0420027,4.5013763,1.7333333,16.0537448,0.1582566,,,,,,,,,,,,,,,,,
,,105.0000000,0.084785942187638,0.3665191,4.501771092967450,4.544159493000690,-0.0423884,158.270931534006000,162.800799323927000,-0.0423884,4.5865479,1.7500000,16.3589742,0.1628008,,,,,,,,,,,,,,,,,
,,106.0000000,0.085556423032563,0.3700098,4.586942362059740,4.629715916033250,-0.0427736,162.815224054770000,167.430515239961000,-0.0427736,4.6724895,1.7666667,16.6669773,0.1674305,,,,,,,,,,,,,,,,,
,,107.0000000,0.086325861399472,0.3735005,4.672883591539760,4.716041777432720,-0.0431582,167.445072911692000,172.146557017393000,-0.0431582,4.7592000,1.7833333,16.9777504,0.1721466,,,,,,,,,,,,,,,,,
,,108.0000000,0.087094247913004,0.3769911,4.759593734240740,4.803136025345720,-0.0435423,172.161247542361000,176.949693042739000,-0.0435423,4.8466783,1.8000000,17.2912897,0.1769497,,,,,,,,,,,,,,,,,
,,109.0000000,0.087861573210610,0.3804818,4.847071733626980,4.890997598556330,-0.0439259,176.964516332507000,181.840690641295000,-0.0439259,4.9349235,1.8166667,17.6075914,0.1818407,,,,,,,,,,,,,,,,,
,,110.0000000,0.088627827942674,0.3839724,4.935316523806640,4.979625426499010,-0.0443089,181.855646606649000,186.820316067794000,-0.0443089,5.0239343,1.8333333,17.9266515,0.1868203,,,,,,,,,,,,,,,,,
,,111.0000000,0.089393002772623,0.3874631,5.024327029544810,5.069018429271630,-0.0446914,186.835404618742000,191.889334497066000,-0.0446914,5.1137098,1.8500000,18.2484663,0.1918893,,,,,,,,,,,,,,,,,
,,112.0000000,0.090157088377044,0.3909538,5.114102166276560,5.159175517648680,-0.0450734,191.904555542840000,197.048510014715000,-0.0450734,5.2042489,1.8666667,18.5730319,0.1970485,,,,,,,,,,,,,,,,,
,,113.0000000,0.090920075445796,0.3944444,5.204640840120190,5.250095593094470,-0.0454548,197.063863463770000,202.298605607809000,-0.0454548,5.2955503,1.8833333,18.9003441,0.2022986,,,,,,,,,,,,,,,,,
,,114.0000000,0.091681954682121,0.3979351,5.295941947890530,5.341777547776590,-0.0458356,202.314091367825000,207.640383155586000,-0.0458356,5.3876131,1.9000000,19.2303992,0.2076404,,,,,,,,,,,,,,,,,
,,115.0000000,0.092442716802761,0.4014257,5.388004377112380,5.434220264579350,-0.0462159,207.656001133470000,213.074603420165000,-0.0462159,5.4804362,1.9166667,19.5631930,0.2130746,,,,,,,,,,,,,,,,,
,,116.0000000,0.093202352538069,0.4049164,5.480827006034120,5.527422617117420,-0.0465956,213.090353522054000,218.602026037282000,-0.0465956,5.5740182,1.9333333,19.8987214,0.2186020,,,,,,,,,,,,,,,,,
,,117.0000000,0.093960852632125,0.4084070,5.574408703641290,5.621383469749550,-0.0469748,218.617908168537000,224.223409507032000,-0.0469748,5.6683582,1.9500000,20.2369805,0.2242234,,,,,,,,,,,,,,,,,
,,118.0000000,0.094718207842844,0.4118977,5.668748329670440,5.716101677592390,-0.0473533,224.239423572245000,229.939511184624000,-0.0473533,5.7634550,1.9666667,20.5779660,0.2299395,,,,,,,,,,,,,,,,,
,,119.0000000,0.095474408942092,0.4153884,5.763844734622990,5.811576086534480,-0.0477314,229.955657087622000,235.751087271159000,-0.0477314,5.8593074,1.9833333,20.9216739,0.2357511,,,,,,,,,,,,,,,,,
,,120.0000000,0.096229446715797,0.4188790,5.859696759779290,5.907805533250280,-0.0481088,235.767364914996000,241.658892804409000,-0.0481088,5.9559143,2.0000000,21.2680999,0.2416589,,,,,,,,,,,,,,,,,
,,121.0000000,0.096983311964061,0.4223697,5.956303237212620,6.004788845214340,-0.0484856,241.675302091374000,247.663681649623000,-0.0484856,6.0532745,2.0166667,21.6172398,0.2476637,,,,,,,,,,,,,,,,,
,,122.0000000,0.097735995501276,0.4258603,6.053662989803560,6.102524840715620,-0.0488619,247.680222481242000,253.766206490339000,-0.0488619,6.1513867,2.0333333,21.9690894,0.2537662,,,,,,,,,,,,,,,,,
,,123.0000000,0.098487488156228,0.4293510,6.151774831254260,6.201012328871850,-0.0492375,253.782878767370000,259.967218819211000,-0.0492375,6.2502498,2.0500000,22.3236444,0.2599672,,,,,,,,,,,,,,,,,
,,124.0000000,0.099237780772219,0.4328417,6.250637566102870,6.300250109644060,-0.0496125,259.984022441651000,266.267468928855000,-0.0496125,6.3498627,2.0666667,22.6809004,0.2662675,,,,,,,,,,,,,,,,,
,,125.0000000,0.099986864207168,0.4363323,6.350249989738180,6.400236973851230,-0.0499870,266.284403795939000,272.667705902706000,-0.0499870,6.4502240,2.0833333,23.0408531,0.2726677,,,,,,,,,,,,,,,,,
,,126.0000000,0.100734729333730,0.4398230,6.450610888414240,6.500971703184960,-0.0503608,272.684771912909000,279.168677605891000,-0.0503608,6.5513325,2.1000000,23.4034981,0.2791687,,,,,,,,,,,,,,,,,
,,127.0000000,0.101481367039406,0.4433136,6.551719039265180,6.602453070224370,-0.0507340,279.185874656928000,285.771130676116000,-0.0507340,6.6531871,2.1166667,23.7688311,0.2857711,,,,,,,,,,,,,,,,,
,,128.0000000,0.102226768226650,0.4468043,6.653573210320080,6.704679838451020,-0.0511066,285.788458664941000,292.475810514567000,-0.0511066,6.7557865,2.1333333,24.1368474,0.2924758,,,,,,,,,,,,,,,,,
,,129.0000000,0.102970923812984,0.4502949,6.756172160518010,6.807650762264000,-0.0514786,292.493269337382000,299.283461276831000,-0.0514786,6.8591294,2.1500000,24.5075427,0.2992835,,,,,,,,,,,,,,,,,
